단어 명,물리 명,영문 명,금칙어,분류어 여부,정의내용
단순,SIMPL,SIMPLE,,,생략
단순객체접근프로토콜,SOAP,SIMPLE OBJECT ACCESS PROTOCOL,SOAP,,생략
단순승인,ABACPT,ABSOLUTE ACCEPTANCE,,,생략
단순회전,SRTT,SIMPLE ROTATION,,,생략
단식,SMPSYS,SIMPLE SYSTEM,,,생략
단애,CLF,CLIFF,,,생략
단어,WORD,WORD,워드,,생략
단외,OUTABS,OUTSIDE AIR BASE,,,생략
단위,UI,UNIT,,분류어,생략
단위공정,UNTPRCS,UNIT PROCESS,,,생략
단위구분코드,UIDVCD,UNIT DIVISION CODE,,분류어,생략
단위레이더반사면적최대탐지거리,URMDD,UNIT RCS MAXIMUM DETECTION DISTANCE,,,생략
단위레이더반사면적탐지거리,URDD,UNIT RCS DETECTION DISTANCE,,,생략
단위부대,UNTELM,UNIT ELEMENT,,,생략
단위사업,ACTV,ACTIVITY,,,생략
단위사업코드,ACTVCD,ACTIVITY CODE,,분류어,생략
단위요금,PFE,PER FEE,,분류어,생략
단위코드,UICD,UNIT OF ISSUE CODE,,분류어,생략
단음,SRTSND,SHORT SOUND,,,생략
단일,SNGL,SINGLE,,,생략
단일레이더지정모드,PRDTM,PREFERRED RADAR TRACKING MODE,,,생략
단일용기,SCTNR,SINGLENESS CONTAINER,,,생략
단일유기화학물질,SCMST,SINGLE ORGANIC CHEMICAL SUBSTANCE,,,생략
단일화,SIMPLFY,SIMPLIFICATION,,,생략
단자,TMNLS,TERMINALS,,,생략
단자판,TMNPLT,TERMINAL PLATE,,,생략
단자함,TMNBOX,TERMINAL BOX,,,생략
단장,DOYEN,DOYEN,,,생략
단절,BREAK,BREAK,,,생략
단절,DISCNCT,DISCONNECTION,,,생략
단점,DSADVNTG,DISADVANTAGE,,,생략
단정,BOAT,BOAT,,,생략
단정반,BTTM,BOAT TEAM,,,생략
단종,DISCNT,DISCONTINUATION,,,생략
단주,OTTKS,ODD-LOT STOCKS,,,생략
단증,DGRCERT,DEGREE CERTIFICATE,,,생략
단차,STEPLY,STEPPED PULLEY,,,생략
단차,SNGLCAR,SINGLE CAR,,,생략
단차로,SFLRT,SINGLE FLOW ROUTE,,,생략
단체,ASSCATN,ASSOCIATION,,,생략
단축,SHRT,SHORT,,,생략
단축,MNAXIS,MINOR AXIS,,,생략
단파,SHRTWV,SHORTWAVE,,,생략
단파적외채널,SHWIFRCH,SHORTWAVE INFRARED CHANNEL,,,생략
단편명령,FRAGO,FRAGMENTARY ORDER,,,생략
단풍나무,JPNMPL,JAPANESE MAPLE,,,생략
단합대회,RTSTU,RALLY TO STRENGTHEN THE UNITY,,,생략
달,MNTH,MONTH,,,생략
달러,DLR,DOLLAR,"달라,불화,미화,미달러,미달라",,생략
달력,CLD,CALENDAR,월력,,생략
달리기,RUNNG,RUNNING,,,생략
달성,ACHMT,ACHIEVEMENT,,,생략
달성가용도,AVLACH,AVAILABILITY ACHIEVED,성취가용도,,생략
달성도,ACMDGR,ACHIEVEMENT DEGREE,,,생략
달성률,ACMTRT,ACHIEVEMENT RATE,달성율,,생략
담당,RSPSBLT,RESPONSIBILITY,,,생략
담당관,OIC,OFFICER IN CHARGE,,,생략
담당부서,RSDPT,RESPONSIBILITY DEPARTMENT,,,생략
담당자,PSNCHRG,PERSON IN CHARGE,,,생략
담배,TBCO,TABACCO,,,생략
담보,CLTRL,COLLATERAL,,,생략
담보가격,MRTGGPC,MORTGAGE PRICE,,,생략
담보가등기,PRS,PROVISIONAL REGISTRATION FOR SECURITY,,,생략
담보계약,MRTGGCNTRCT,MORTGAGE CONTRACT,,,생략
담보금액,MRTGGAMOUNT,MORTGAGE AMOUNT,,,생략
담보물권,RRGWS,REAL RIGHTS GRANTED BY WAY OF SECURITY,,,생략
담보설정,PUTCLT,PUT ON COLLATERAL,,,생략
담보책임,RBTSY,RESPONSIBILITY FOR SECURITY,,,생략
담임,CSTCR,CLASS TEACHER,,,생략
담합행위,PRARACT,PREARRANGEMENT ACT,,,생략
담화,CLQY,COLLOQUY,,,생략
답글,RPL,REPLY,,,생략
답변,ANSWR,ANSWER,,,생략
답변자,RPLR,REPLIER,,,생략
답변코드번호,ANSCDNO,ANSWER CODE NUMBER,,분류어,생략
답사,EXPLR,EXPLORATION,,,생략
답신,REPLY,REPLY,,,생략
답안,ANSW,ANSWER,답,,생략
답안번호,ANSWNO,ANSWER NUMBER,,분류어,생략
당,PER,PER,,,생략
당겨배정,ADVAPT,ADVANCED APPORTIONMENT,,,생략
당겨배정액,ADAPTAMT,ADVANCED APPORTIONMENT AMOUNT,"당겨액,당겨금액,당겨배정금액",,생략
당구장,BLRDRM,BILLIARD ROOM,,,생략
당기,CTRM,CURRENT TERM,,,생략
당기감소량,CTDQTY,CURRENT TERM DECREASE QUANTITY,당기감소수량,,생략
당기감소액,CTDAMT,CURRENT TERM DECREASE AMOUNT,당기감소금액,,생략
당기순이익,NPCP,NET PROFIT OF CURRENT PERIOD,,,생략
당기증가량,CTIQTY,CURRENT TERM INCREASE QUANTITY,당기증가수량,,생략
당기증가액,CTIAMT,CURRENT TERM INCREASE AMOUNT,당기증가금액,,생략
당김,PULL,PULL,,,생략
당년,THSYY,THIS YEAR,,,생략
당년도,THTYR,THAT YEAR,"당해,당년,당해년도",,생략
당뇨병,DIM,DIABETES MELLITUS,,,생략
당뇨식,DIAD,DIABETIC DIET,,,생략
당비,PRTDUE,PARTY DUE,,,생략
당사국,CNCNRY,CONCERNED COUNTRY,,,생략
당사자적격,STNDSU,STANDING TO SUE,,,생략
당시,ATT,AT THAT TIME,,,생략
당연상인,MHGCWM,MERCHANT WHO ENGAGED IN COMMERCIAL TRANSACTIONS IN,,,생략
당연직,EFC,EX OFFICIO,,,생략
당원,PARTM,PARTY MEMBER,,,생략
당월,THTMON,THAT MONTH,,,생략
당일,THTDY,THAT DAY,,,생략
당좌예금,CURACC,CURRENT ACCOUNT,당좌,,생략
당좌자산,QCKAST,QUICK ASSETS,당좌,,생략
당직근무,CQ,CHARGE OF QUARTERS,당직,,생략
당질,CRBHD,CARBOHYDRATE,,,생략
당첨,PRZWIN,PRIZE WINNING,,,생략
당첨자,PRZWNER,PRIZE WINNER,,,생략
당초,BGNG,BEGINNING,,,생략
당해,PRTINT,PERTINENT,,,생략
닻,ANCHR,ANCHOR,앵카,,생략
대,CPS,CORPS,,,생략
대,PERIOD,PERIOD,,,생략
대,ANTI,ANTI,,,생략
대,STND,STAND,,,생략
대,LRG,LARGE,,,생략
대가,COST,COST,,,생략
대가변제,EVNY,EQUIVALENT REPAYMENT,,,생략
대간첩작전,CRSR,COUNTERESPIONAGE OPERATION,,,생략
대간첩작전보상대책지원금,CRWTPY,COUNTERESPIONAGE OPERATION REWARD COUNTERPLAN SUPP,,,생략
대결,APVMGR,APPROVE FOR THE MANAGER,,,생략
대공,ANTAIR,ANTI AIRCRAFT,,,생략
대공,ATCMMNSM,ANTI COMMUNISM,,,생략
대공감시중앙통제소,GOCC,GROUND OBSERVATION CONTROL CENTER,,,생략
대공육안감시소,AOP,AERIAL OBSERVATION POST,AOP,,생략
대공육안감시소번호,AOPNO,AERIAL OBSERVATION POST NUMBER,,분류어,생략
대공전,AAW,ANTI AIR WARFARE,,,생략
대공제압,SEAD,SUPPRESSION OF ENEMY AIR DEFENSE,"적방공제압,SEAD",,생략
대공중침투작전,AAINFLTOPR,ANTI AIR INFILTRATION OPERATIONS,,,생략
대공포,AAA,ANTI-AIRCRAFT ARTILLERY,,,생략
대공표적,ARTRK,AIR TRACKS,,,생략
대구,DAEGU,DAEGU,,,생략
대구경북,DGGB,DAEGU GYEONGSANGBUK-DO,,,생략
대규모,LRGSCL,LARGE SCALE,,,생략
대그룹,LRGRP,LARGE GROUP,,,생략
대금,BILL,BILL,,,생략
대금지급조건,TOAC,TYPE OF ASSISTANCE CODE,,,생략
대기,AMSP,ATMOSPHERE,,,생략
대기,WAIT,WAIT,,,생략
대기기간,WTPD,WAITING PERIOD,,,생략
대기뢰전,MCM,MINE COUNTERMEASURES,,,생략
대기시간,WAITTM,WAITING TIME,,,생략
대기시간,OSTM,ON-STATION TIME,,,생략
대기안정도분류코드,ATSTCLSCD,ATMOSPHERIC STABILITY CLASSIFICATION CODE,,분류어,생략
대기지역,STNDBYAR,STAND BY AREA,대기장소,,생략
대기차선,WTFF,WAITING TRAFFIC LANE,,,생략
대기품목,STDBYITM,STAND BY ITEM,,,생략
대납,PAYPRX,PAYMENT BY PROXY,,,생략
대납자,PRXPAYER,PAYMENT BY PROXY PERSON,,,생략
대내,INTR,INTERIOR,,,생략
대내외,DMFN,DOMESTIC AND FOREIGN POLICIES,,,생략
대당,PCU,PER COUNTING CUNIT,,,생략
대당장착수량,QPA,QUANTITY PER APPLICATION,,,생략
대대,BN,BATTALION,,,생략
대대번호,BNNO,BATTALION NUMBER,,분류어,생략
대대원,MBRBTL,MEMBER OF BATTALION,,,생략
대대장,BTLCMD,BATTALION COMMANDER,,,생략
대도시,MPLIS,METROPOLIS,,,생략
대량,MASS,MASS,,,생략
대량거래,LGC,LARGE TRANSACTION,,,생략
대량살상무기,WMD,Weapons of Mass Destruction,,,생략
대량유류,BLKPTRL,BULK PETROLEUM,,,생략
대량유류저장시설,BSTNK,BULK STORAGE TANK,,,생략
대량이동식인쇄체계,MPS,MULTIPLE PRINTING SYSTEM,MPS,,생략
대량전상자,MASCAL,MASS CASUALTY,,,생략
대량탈북난민관리번호,MDNKRMNO,MASS DEFECTION FROM NORTH KOREA REFUGEE MANAGEMENT NUMBER,,분류어,생략
대령,COL,COLONEL,,,생략
대류,CNVCTN,CONVECTION ,,,생략
대륙,CNTNT,CONTINENT,,,생략
대륙붕,CNLHF,CONTINENTAL SHELF,,,생략
대륙코드,CTNCD,CONTINENT CODE,,분류어,생략
대리,AGNC,AGENCY,,,생략
대리권,AGCYTH,AGENCY AUTHORITY,,,생략
대리인,AGNT,AGENT,대리자,,생략
대리점,AGENCY,AGENCY,,,생략
대리출납공무원,DCAO,DELEGATED CLASS AGENT OFFICER,,,생략
대면,MTFTF,MEET FACE TO FACE,,,생략
대물,SBST,SUBSTITUTE,,,생략
대물대차,LBSTS,LOAN BY SUBSTITUES,,,생략
대물배상,PDL,PROPERTY DAMAGE LIABILITY,대물배상책임,,생략
대물변제,PAYSBT,PAYMENT IN SUBSTITUTES,,,생략
대미,TWDAMR,TOWARD AMERICA,,,생략
대미문서번호,TADOCNO,TOWARD AMERICA DOCUMENT NUMBER,,분류어,생략
대민,TWDCVLN,TOWARD CIVILIANS,,,생략
대방사무장,ARM,ANTI RADIATION MUNITION,,,생략
대방사무장표적식별체계,ATS,ARM TARGETING SYSTEM,,,생략
대법관,JSTPMC,JUSTICE OF THE SUPREME COURT,,,생략
대법원,SCOURT,THE SUPREME COURT,,,생략
대법원장,CJSMR,CHIEF JUSTICE OF SUPREME COURT,,,생략
대변,CRD,CREDIT,,,생략
대변,FECES,FECES,,,생략
대변기,CLSBWL,CLOSET BOWL,,,생략
대변차변,CRDBT,CREDIT AND DEBIT,"차대변,차대,차변대변",,생략
대변차변구분코드,CRDBTDVCD,CREDIT AND DEBIT DIVISION CODE,,분류어,생략
대별,GNRCL,GENERAL CLASSIFICATION,,,생략
대부,LOANG,LOANING,,,생략
대부계약,LOANCTR,LOAN CONTRACT,,,생략
대부금,LNAMT,LOANING AMOUNT,,,생략
대부료,LOANFEE,LOANING FEE,,,생략
대부일자,LOANDT,LOANING DATE,대부일,,생략
대부자,LOANER,LOANER,,,생략
대분류,LRGCLS,LARGE CLASSIFICATION,,,생략
대분배계통,WSL,WHOLE SALE LEVEL,,,생략
대불금,SBTPAY,SUBSTITUTE PAYMENT,,,생략
대비,PRPRTN,PREPARATION,,,생략
대비,VS,VERSUS,,,생략
대비책,PRCTN,PRECAUTION,,,생략
대사,CMPR,COMPARISON,,,생략
대상,CPSBT,COMPENSATION IN SUBSTITUTES,,,생략
대상,OBJCT,OBJECT,,,생략
대상건수,TRGCNT,TARGET COUNT,,,생략
대상금액,TRGAMT,TARGET AMOUNT,,,생략
대상물,TRGT,TARGET,,,생략
대상번호,OBJNO,OBJECT NUMBER,,분류어,생략
대상신체검사코드,OBJPHMCD,OBJECT PHYSICAL EXAMINATION CODE,,분류어,생략
대상자,TGTPSN,TARGETED PERSON,,,생략
대상청구권,TRGCLM,TARGET CLAIM,,,생략
대상포진,HPZST,HERPES ZOSTER,,,생략
대소사,MATGS,MATTERS GREAT AND SMALL,,,생략
대손,BADBT,BAD DEBTS,,,생략
대손상각,BTD,BAD DEBTS DEPRECATION,,,생략
대손추산,DLPF,THE DEAD LOAN PROFORMA,대손추정,,생략
대손충당금,AFBD,ALLOWANCE FOR BAD DEBTS,대손충당금액,,생략
대수,CNTUNT,COUNTING UNIT,댓수,분류어,생략
대수술,MAJOP,MAJOR OPERATION,,,생략
대습상속,IRCRN,INHERITANCE BY REPRESENTATION,,,생략
대시,DASH,DASH ,,,생략
대안,FRBNK,FAR BANK,,,생략
대여,LEND,LEND,,,생략
대여금,LNDAMT,LEND AMOUNT,대여금액,,생략
대여료,RENTFEE,RENTAL FEE,,,생략
대여번호,LENDNO,LEND NUMBER,,분류어,생략
대여양도목적코드,LATOCD,LEND AND TRANSFER OBJECTIVE CODE,,분류어,생략
대여일자,LENDT,LEND DATE,대여일,,생략
대여자,LENDER,LENDER,,,생략
대역,BAND,BAND,,,생략
대열,SRL,SERIAL,,,생략
대외,EXTNL,EXTERNAL,,,생략
대외군사판매,FMS,FOREIGN MILITARY SALES,FMS,,생략
대외군사판매문서번호,FMSDNO,FOREIGN MILITARY SALES DOCUMENT NUMBER,,분류어,생략
대외군사판매법,FMSACT,FOREIGN MILITARY SALES ACT,,,생략
대외군사판매오퍼요청서번호,FMSLORNO,FOREIGN MILITARY SALES LETTER OF REQUEST NUMBER,,분류어,생략
대외군사판매지원종류코드,FMSSKCD,FOREIGN MILITARY SALES SUPPORT KIND CODE,,분류어,생략
대외비,CFDTL,CONFIDENTIAL,,,생략
대외원조법,FAA,FOREIGN ASSISTANCE ACT,,,생략
대우,TRTM,TREATMENT,,,생략
대우주,CNTRSPC,COUNTER SPACE,,,생략
대원수,GLSIMO,GENERALISSIMO,,,생략
대월,OVRDFT,OVERDRAFT,,,생략
대위,CPT,CAPTAIN,,,생략
대위변제,SUBRGT,SUBROGATION,,,생략
대유형,LRTY,LARGE TYPE,,,생략
대응,CFRTN,CONFRONTATION,,,생략
대응책,CTMS,COUNTERMEASURE,,,생략
대인,AP,ANTI-PERSONNEL,,,생략
대인담보,PRSNLSCR,PERSONAL SECURITY,,,생략
대인배상,BIL,BODILY INJURY LIABILITY,대인배상책임,,생략
대인배상1,BI1,BODILY INJURY 1,대인1,,생략
대인배상2,BI2,BODILY INJURY 2,대인2,,생략
대인용,ANPSN,FOR ANTI-PERSONNEL,,,생략
대인지뢰,ATPSNMN,ANTI PERSONNEL MINES,,,생략
대잠경계,ASS,ANTI SUBMARINE SCREEN,,,생략
대잠전,ASW,ANTI SUBMARINE WARFARE,,,생략
대잠전지원,ASWAS,ANTI SUBMARINE WARFARE ASSISTANCE,,,생략
대잠전참조점자료,ASWRPD,ANTI SUBMARINE WARFARE REFERENCE POINT DATA,,,생략
대잠표적,SBSTR,SUBSURFACE TRACKS,,,생략
대장,LDGR,LEDGER,,,생략
대장,GEN,GENERAL,,,생략
대장물,REG,REGISTER,,,생략
대장번호,LDGRNO,LEDGER NUMBER,,분류어,생략
대장정리필구분코드,LAFDCD,LEDGER ARRANGEMENT FINISHED DIVISION CODE,,분류어,생략
대전,DAEJEON,DAEJEON,,,생략
대전차,ATTNK,ANTI-TANK,,,생략
대전차구,ATD,ANTI-TANK DITCH,,,생략
대전차용,ANTTNK,FOR ANTI-TANK,,,생략
대전차지뢰,ATTNKMN,ANTI TANK MINES,,,생략
대전충남,DJCN,DAEJEON CHUNGCHEONGNAM-DO,,,생략
대절,RSRVD,RESERVED,,,생략
대정보,CI,COUNTER INTELLIGENCE,,,생략
대정보보고서유형코드,CIRPTTYCD,COUNTER INTELLIGENCE REPORT TYPE CODE,,분류어,생략
대정보분석보고서,CIARPRT,COUNTER INTELLIGENCE ANALYSIS REPORT,,,생략
대정보자료구분코드,CIDTADVCD,COUNTER INTELLIGENCE DATA DIVSION CODE,,분류어,생략
대정보자료출처코드,CIDTASRCD,COUNTER INTELLIGENCE DATA SOURCE CODE,,분류어,생략
대조,CONTR,CONTRAST,,,생략
대졸,CLGGRD,COLLEGE GRADUATES ,,,생략
대중교통,TRNT,TRANSIT,,,생략
대중소,LMS,"LARGE, MIDDLE AND SMALL",,,생략
대중화,PLRZ,POPULARIZATION,,,생략
대지,PLTLND,PLOT OF LAND,,,생략
대지,ANTGRND,ANTI GROUND,,,생략
대지면적,PLTAR,PLOT AREA,,,생략
대지속도,GRDSPD,GROUND SPEED,,,생략
대차,TRCK,TRUCK,,,생략
대차,CRNDBSD,CREDIT AND DEBIT SIDE,,,생략
대차,BRWLND,BORROWING AND LENDING,,,생략
대차대조표,BS,BALANCE SHEET,"B/S,BS",,생략
대차료,RNTLFEE,RENTAL FEE,,,생략
대책,MSRS,MEASURES,,,생략
대철항,LRGIRNPK,LARGE IRON PACK,,,생략
대체,ITCHG,INTERCHANGE,,,생략
대체DODIC,SBTDODIC,SUBSTITUTE DODIC,,,생략
대체일자,ITCHGDT,INTERCHANGE DATE,대체일,,생략
대체조달,ALTSPL,ALTERNATIVE SUPPLY,,,생략
대체집행,EBRXY,EXECUTION BY PROXY,,,생략
대체품목,SBTITM,SUBSTITUTE ITEM,"대치품,대체품",,생략
대체품목식별코드,ISACD,INTERCHANGEABLE AND SUBSTITUTE ACTION CODE,,분류어,생략
대출,LENDING,LENDING,,,생략
대출금,LDMY,LOANED MONEY,,,생략
대출금리,LOANINT,LOAN INTEREST,,,생략
대출번호,LNDNGNO,LENDING NUMBER,,분류어,생략
대출일자,LNDNGDT,LENDING DATE,대출일,,생략
대출자,BRWR,BORROWER,,,생략
대충,SPLM,SUPPLEMENT,,,생략
대치,SUBST,SUBSTITUTION,,,생략
대침투,CTRIFT,COUNTER INFILTRATION,,,생략
대침투보고서종류코드,CTRFTRPTKNCD,COUNTER INFILTRATION REPORT KIND CODE,,분류어,생략
대칭,SYMM,SYMMETRY,,,생략
대테러,CTRTRR,COUNTER TERRORISM,,,생략
대통령,PRSDT,PRESIDENT,,,생략
대통령경호실,PSS,PRESIDENTIAL SECURITY SERVICE,,,생략
대통령당선인,ELPRSDNT,PRESIDENT GETTING ELECTED,,,생략
대통령비서실,CWD,OFFICE OF THE PRESIDENT,,,생략
대통령직,PRSDNCY,PRESIDENCY,,,생략
대파,GRTDMG,GREAT DAMAGE,,,생략
대파손실,GRTLOSS,GREAT DAMAGE LOSS,,,생략
대표,RPST,REPRESENT,,,생략
대표계정과목,BCOA,THE BASIS TITLE OF ACCOUNTS,,,생략
대표계정과목코드,BTACD,THE BASIS TITLE OF ACCOUNTS CODE,,분류어,생략
대표단,DLGT,DELEGATION,,,생략
대표소송,RRNVT,REPRESENTATIVE SUIT,,,생략
대표업체구분코드,RPENTDVCD,REPRESENT ENTERPRISE DIVISION CODE,,분류어,생략
대표이사,RPSTDRT,REPRESENTATIVE DIRECTOR,,,생략
대표자,RPSTV,REPRESENTATIVE,,,생략
대표표적여부,PRSTTGTYN,REPRESENT TARGET YES OR NO,,,생략
대피,TKSTR,TAKE SHELTER,,,생략
대피소,SHLTR,SHELTER,,,생략
대피호,BMSLT,BOMB SHELTER,,,생략
대피호형태코드,STRCTYCD,SHELTER TRENCH TYPE CODE,,분류어,생략
대하,LEUKOR,LEUKORRHEA,,,생략
대학,UNIV,UNIVERSITY,,,생략
대학병원,UNVHSPT,UNIVERSITY HOSPITAL,,,생략
대학생,UNVSTD,UNIVERSITY STUDENT,,,생략
대학원,GRDTSCHL,GRADUATE SCHOOL,,,생략
대학원생,GRDTSTD,GRADUATE STUDENT,,,생략
대한민국,KOR,KOREA,"ROK,한국",,생략
대한민국국민,RCFKP,REPUBLIC OF KOREA PEOPLE,,,생략
대한민국법인,RKRRP,REPUBLIC OF KOREA CORPORATION,,,생략
대한민국선박,RCKRH,REPUBLIC OF KOREA SHIP,,,생략
대함전,ASUW,ANTI SURFACE WARFARE,,,생략
대함표적,SFTRK,SURFACE TRACKS,,,생략
대항군,OPFOR,Opposite Force,,,생략
대항방책,OCOA,OPPOSING COURSE OF ACTION,,,생략
대해상침투작전,ASIOPR,ANTI SEA INFILTRATION OPERATION,,,생략
대행,VICEXC,VICARIOUS EXECUTION,,,생략
대행감사,VCCP,VICARIOUS EXECUTION INSPECTION,,,생략
대행감사위탁감사,VCSNP,VICARIOUS EXECUTION INSPECTION _ TRUST INSPECTION,,,생략
대행검사기관,VXTTT,VICARIOUS EXECUTION TEST INSTITUTION,,,생략
대행사,AGNCY,AGENCY,,,생략
대행임무,VXMSN,VICARIOUS EXECUTION MISSION,,,생략
대행자,PROXY,PROXY,,,생략
대형,FMTN,FORMATION,,,생략
대형금속용기,LSMN,LARGE SIZE METAL CONTAINER,,,생략
대형상륙함,LST,LANDING SHIP TANK,LST,,생략
대형상황전시기,LSD,LARGE SCREEN DISPLAY,,,생략
대형용기,BNST,BIG INSTRUMENT,,,생략
대형주,LTK,LARGE STOCK,,,생략
대화,CVST,CONVERSATION,,,생략
대화력전,CFPW,COUNTER FIRE POWER WARFARE,,,생략
대화력전탄종코드,CFPWKNOAMCD,COUNTER FIRE POWER WARFARE KIND OF AMMUNITION CODE,,분류어,생략
대화력표적규모코드,CFPTGSCALCD,COUNTER FIRE POWER TARGET SCALE CODE,,분류어,생략
대화방,CHTRM,CHATTING ROOM,,,생략
대화방번호,CHTRMNO,CHATTING ROOM NUMBER,,분류어,생략
댐,DAM,DAM,,,생략
댓글,CMNT,COMMENT,,,생략
더미테이블,DMMYTBL,DUMMY TABLE,,,생략
덕망,MRINF,MORAL INFLUENCE,,,생략
덕트,DUCT,DUCT,,,생략
덤프,DUMP,DUMP,,,생략
덤핑,DUMPNG,DUMPING,,,생략
데드링크,DELINK,DEAD LINK,,,생략
데몬,DEMON,DEMON,,,생략
데시벨,DCBL,DECIBEL,,,생략
데이터,DATA,DATA,"데이타,DATA",,생략
데이터공유환경,SHADE,SHARED DATA ENVIRONMENT,SHADE,,생략
데이터그램,DTGRM,DATAGRAM,,,생략
데이터링크,DATALINK,DATALINK,,,생략
데이터마트,DTWRH,DATA WAREHOUSE,,,생략
데이터베이스,DB,DATABASE,DB,,생략
데이터베이스관리자,DBA,DATABASE ADMINISTRATOR,,,생략
데이터상세유형코드,DATADTLTYCD,DATA DETAIL TYPE CODE,,분류어,생략
데이터웨어하우스,DW,DATA WAREHOUSE                        ,,,생략
데이터유형코드,DATATYCD,DATA TYPE CODE,,분류어,생략
데이터조작언어,DML,DATA MANAGEMENT LANGUAGE,DML,,생략
데이터처리,DTPRCS,DATA PROCESSING,,,생략
데이터통신,DTMM,DATA COMMUNICATION,,,생략
델타,DLTA,DELTA,DELTA,,생략
델파이기법,DPHTCH,DELPHI TECHNIQUE,,,생략
도,PCTR,PICTURE,,,생략
도,DO,DO,,,생략
도곽선,NTLN,NEAT LINE,,,생략
도관,CDT,CONDUIT,,,생략
도교,GWAY,GANGWAY,,,생략
도구,INSTRMNT,INSTRUMENT,,,생략
도금,PLTNG,PLATING,,,생략
도급,CTRTWRK,CONTRACT FOR WORK,,,생략
도급경비,CTRCST,CONTRACT COST,,,생략
도급계약,INVTCTRT,INVITED CONTRACT,,,생략
도급공사,CTRTCNST,CONTRACT CONSTRUCTION,,,생략
도급업체,CTRTENT,CONTRACT ENTERPRISE,,,생략
도난,ROBR,ROBBERY,,,생략
도내,PRVNCL,PROVINCIAL,,,생략
도달,ARVL,ARRIVAL,,,생략
도덕성,MRLTY,MORALITY,,,생략
도래,ADVNT,ADVENT,,,생략
도량,LENVLM,LENGTH AND VOLUME,,,생략
도량형,WAM,WEIGHTS AND MEASURES,,,생략
도량형코드,WNMCD,WEIGHTS AND MEASURES CODE,,분류어,생략
도로,ROAD,ROAD,,,생략
도로구간,RDSC,ROAD SECTION,,,생략
도로기장,RDLEN,ROAD LENGTH,,,생략
도로기종점,RBEP,ROAD BEGIN AND END POINT,,,생략
도로대화구,RDCRTR,ROAD CRATER,,,생략
도로망,RDNTW,ROAD NETWORK,,,생략
도로망체계,RDNWSYS,ROAD NETWORK SYSTEM,,,생략
도로명,RN,ROAD NAME,,,생략
도로명기본도,RNBM,ROAD NAME BASIC MAP,,,생략
도로명번호,RDNMNO,ROAD NAME NUMBER,,분류어,생략
도로명사업,RDNMBIZ,ROAD NAME BUSINESS,,,생략
도로명시설,RDNMFCT,ROAD NAME FACILITY,,,생략
도로명주소,RDNMADR,ROAD NAME ADDRESS,,,생략
도로명주소데이터베이스,RNAD,ROAD NAME ADDRESS DATABASE,,,생략
도로명주소통합센터,RNAIC,ROAD NAME ADDRESS INTEGRATION CENTER,,,생략
도로명코드,RDNMCD,ROAD NAME CODE,,분류어,생략
도로번호,ROADNO,ROAD NUMBER,,분류어,생략
도로정찰대,ROADRT,ROAD RECONNAISSANCE TEAM,,,생략
도로차선구분코드,RODLANCD,ROAD LANE SECTION CODE,,분류어,생략
도로폭구분코드,RODWDTCD,ROAD WIDTH SECTION CODE,,분류어,생략
도로표면상태코드,ROADSRFCSTCD,ROAD SERFACE STATE CODE,,분류어,생략
도로형태코드,ROADSHAPECD,ROAD SHAPE CODE,,분류어,생략
도매,WHSAL,WHOLESALE,,,생략
도매인,WHLSALR,WHOLESALER,,,생략
도메인,DMN,DOMAIN,DOMAIN,,생략
도메인네임시스템,DNS,DOMAIN NAME SYSTEM,,,생략
도면,DRWNG,DRAWING,,,생략
도면류,DRWKND,DRAWING KIND,,,생략
도면번호,DRWGNO,DRAWING NUMBER,,분류어,생략
도박,GAMBLE,GAMBLE,,,생략
도발,PRVCT,PROVOCATION,,,생략
도보,WLK,WALKING,,,생략
도보교,WWBRDG,WALKWAY BRIDGE,,,생략
도분좌표,DMCORD,DEGREE MINUTES COORDINATE,,분류어,생략
도분초좌표,DMSCORD,DEGREE MINUTES SECOUNDS COORDINATE,,분류어,생략
도산,BKRC,BANKRUPTCY,,,생략
도색,PNTNG,PAINTING,,,생략
도서,BKS,BOOKS,,,생략
도서,ISLND,ISLANDS,,,생략
도서번호,BOOKNO,BOOKS NUMBER,,분류어,생략
도서벽지,IDSRTS,ISLANDS AND REMOTE AREAS,,,생략
도서벽지구분코드,IRPDCD,ISLANDS REMOTE PLACE DIVISION CODE,,분류어,생략
도선,FERRY,FERRY,,,생략
도선사업,FRYB,FREEY BUSINESS,,,생략
도선수습생,PLINTN,PILOT INTERN,,,생략
도선장,FRRSTN,FERRY STATION,나루터,,생략
도선장번호,FSNO,FERRY STATION NUMBER,,분류어,생략
도섭,FORD,FORD,,,생략
도섭장,FDGST,FORDING SITE,,,생략
도수,MNBR,MEASUREMENT NUMBER,,,생략
도시,ILLS,ILLUSTRATION,,,생략
도시,TOWN,TOWN,,,생략
도시계획,CTPLN,CITY PLANNING,,,생략
도시계획시설코드,CPICD,CITY PLANNING INSTALLATION CODE,,분류어,생략
도시기반시설,CTIFR,CITY INFRASTRUCTURE,,,생략
도시요소,DITEM,DISPLAY ITEM,,,생략
도시요소유형코드,DITEMTYPECD,DISPLAY ITEM TYPE CODE,,분류어,생략
도시요소종류코드,DITEMKNDCD,DITEM KIND CODE,,분류어,생략
도시화,UBNZTN,URBANIZATION,,,생략
도시화구분코드,UBNZTNCD,URBANIZATION SECTION CODE,,분류어,생략
도엽,MPSHT,MAP SHEET,,,생략
도엽번호,MPSHTNO,MAP SHEET NUMBER,,분류어,생략
