단어 명,물리 명,영문 명,금칙어,분류어 여부,정의내용
2종보급품,CS2,CLASS 2 SUPPLIES,2종,,생략
2주,WK2,SECOND WEEK,,,생략
2지대,ZONE2,2 ZONE,,,생략
2지망,SNDWISH,SECOND WISH,,,생략
2차,SND,SECOND,"두번째,둘째,이차",,생략
2차원,DMNSN2,2 DIMENSION,,,생략
2차평정자,SNDEVPSN,SECOND EVALUATION PERSON,,,생략
2층,FLR2,SECOND FLOOR,,,생략
2학기,SMSTR2,SECOND SEMESTER,,,생략
2회,TWC,TWICE,,,생략
3,3,THREE,,,생략
3000미터달리기,RUN3000,3000 METER RUN,"3000M달리기,달리기3000,달리기3000M,달리기3000미터",,생략
30세,YRS30,30 YEARS,,,생략
31세,YRS31,31 YEARS,,,생략
32세,YRS32,32 YEARS,,,생략
33세,YRS33,33 YEARS,,,생략
345킬로볼트,KV345,345 KILOVOLT,,,생략
34세,YRS34,34 YEARS,,,생략
35세,YRS35,35 YEARS,,,생략
36세,YRS36,36 YEARS,,,생략
37세,YRS37,37 YEARS,,,생략
38세,YRS38,38 YEARS,,,생략
39세,YRS39,39 YEARS,,,생략
3-A단계,STP3A,THIRD A STEP,,,생략
3-B단계,STP3B,THIRD B STEP,,,생략
3-C단계,STP3C,THIRD C STEP,,,생략
3국화폐,TRDCTRCR,THIRD COUNTRY CURRENCY,,,생략
3군,TROKAR,THE THIRD REPUBLIC OF KOREA ARMY AREA,,,생략
3군공통군수지원코드,ANFCMNLSCD,"ARMY, NAVY AND AIR FORCE COMMON LOGISTICS SUPPORT CODE",,분류어,생략
3군공통품목,CMNITM,COMMON ITEM,,,생략
3군공통품목식별코드,ANFCD,"ARMY, NAVY AND AIR FORCE COMMON ITEM CODE",,분류어,생략
3군상호지원,INTSUP,INTERSERVICE SUPPORT,,,생략
3군상호지원정비구분코드,ISMCD,INTERSERVICE SUPPORT MAINTENANCE CATEGORY CODE,,분류어,생략
3군수지원사령부,LSCMD3,3 LOGISTICS SUPPORT COMMAND,,,생략
3군수지원여단,LSBRGD3,3 LOGISTICS SUPPORT BRIGADE,,,생략
3급,CLS3,THIRD CLASS,,,생략
3년,YY3,3 YEAR,,,생략
3년도,YEAR3,3 YEAR,,,생략
3년차,ORDYR3,THIRD ORDER BY YEAR,,,생략
3단계,STP3,THIRD STEP,,,생략
3등급,GRD3,THIRD GRADE,,,생략
3분기,QTR3,THIRD QUARTER OF A YEAR,"3/4분기,분기3",,생략
3분의2,TWTH,TWO-THIRDS,,,생략
3사람,HUMN3,3 HUMAN,,,생략
3시간,TIME3,3 TIME,,,생략
3월,MAR,MARCH,MAR,,생략
3인,THREEPSN,THREE PERSONS,,,생략
3자물류,PL3,THIRD PARTY LOGISTICS,,,생략
3종보급품,CS3,CLASS 3 SUPPLIES,3종,,생략
3주,WK3,THIRD WEEK,,,생략
3지대,ZONE3,3 ZONE,,,생략
3차,THRD,THIRD,"세번째,셋째,삼차",,생략
3차원,DMNSN3,3 DIMENSION,,,생략
3층,FLR3,THIRD FLOOR,,,생략
4,4,FOUR,,,생략
4.5톤카고,TC45,4.5 TON CARGO,,,생략
40밀리미터,MM40,40 MILLIMETER,,,생략
40세,YRS40,40 YEARS,,,생략
48시간,TIME48,48 TIME,,,생략
4급,CLS4,FOURTH CLASS,,,생략
4년,YY4,4 YEAR,,,생략
4년도,YEAR4,4 YEAR,,,생략
4년차,ORDYR4,FOURTH ORDER BY YEAR,,,생략
4단계,STP4,FOURTH STEP,,,생략
4등급,GRD4,FOURTH GRADE,,,생략
4분기,QTR4,FOURTH QUARTER OF A YEAR,"4/4분기,분기4",,생략
4사람,HUMN4,4 HUMAN,,,생략
4월,APR,APRIL,APR,,생략
4자물류,PL4,FOURTH PARTY LOGISTICS,,,생략
4종보급품,CS4,CLASS 4 SUPPLIES,4종,,생략
4주,WK4,FOURTH WEEK,,,생략
4차,FOTH,FOURTH,,,생략
4층,FLR4,FORTH FLOOR,,,생략
57밀리미터,MM57,57 MILLIMETER,,,생략
5군수지원사령부,LSCMD5,5 LOGISTICS SUPPORT COMMAND,,,생략
5급,CLS5,FIFTH CLASS,,,생략
5년,YY5,5 YEAR,,,생략
5년도,YEAR5,5 YEAR,,,생략
5년차,ORDYR5,FIFTH ORDER BY YEAR,,,생략
5단계,STP5,FIFTH STEP,,,생략
5등급,GRD5,FIFTH GRADE,,,생략
5분기,QTR5,FIFTH QUARTER,,,생략
5사람,HUMN5,5 HUMAN,,,생략
5월,MAY,MAY,MAY,,생략
5종보급품,CS5,CLASS 5 SUPPLIES,5종,,생략
5주,WK5,FIFTH WEEK,,,생략
5차,FITH,FIFTH,,,생략
5층,FLR5,FIFTH FLOOR,,,생략
5평,PYNG5,5 PYEONG,,,생략
6,6,SIX,,,생략
60밀리미터,MM60,60 MILLIMETER,,,생략
60세,YRS60,60 YEARS,,,생략
65세,YRS65,65 YEARS,,,생략
6급,CLS6,SIXTH CLASS,,,생략
6년,YY6,6 YEAR,,,생략
6년차,ORDYR6,SIXTH ORDER BY YEAR,,,생략
6단계,STP6,SIXTH STEP,,,생략
6분기,QTR6,SIXTH QUARTER,,,생략
6사람,HUMN6,6 HUMAN,,,생략
6세,YRS6,6 YEARS,,,생략
6시간,TIME6,6 TIME,,,생략
6시그마,SIXSGM,SIX SIGMA,,,생략
6월,JUN,JUNE,JUN,,생략
6자회담,SPTLKS,SIX-PARTY TALKS,,,생략
6종보급품,CS6,CLASS 6 SUPPLIES,6종,,생략
6차,SITH,SIXTH,,,생략
6평,PYNG6,6 PYEONG,,,생략
7,7,SEVEN,,,생략
70세,YRS70,70 YEARS,,,생략
765킬로볼트,KV765,765 KILOVOLT,,,생략
